customer_id,month,n_months,days_to_next_max,days_since_last_at_end_of_the_month,days_since_first,sum_in,sum_out,cum_sum_in,cum_sum_out,count_in,count_out,cum_count_in,cum_count_out,cum_count,n_transaction_monthly,balance,count_incoming_bigger_than_100,count_incoming_bigger_than_500,count_incoming_bigger_than_1000,cum_n_incoming_bigger_than_100,cum_n_incoming_bigger_than_500,cum_n_incoming_bigger_than_1000,cum_monday,monday,cum_tuesday,tuesday,cum_wednesday,wednesday,cum_thursday,thursday,cum_friday,friday,cum_saturday,saturday,cum_sunday,sunday,sum_in_relative,sum_out_relative,count_in_relative,count_out_relative,count_tnx_type,month_of_first_transaction,month_of_last_transaction,churn,active_months,days_in_month
1,2018-01-01,1,6.0,2,2,16.06,0.0,16.06,0.0,1.0,0.0,1.0,0.0,1.0,1.0,16.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,31
503,2018-01-01,1,1.0,0,2,15.49,116.15,15.49,116.15,1.0,6.0,1.0,6.0,7.0,7.0,-100.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.14,0.86,3.0,1.0,0.0,0,1,31
51,2018-01-01,1,2.0,0,2,0.0,122.41,0.0,122.41,0.0,7.0,0.0,7.0,7.0,7.0,-122.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,1,31
502,2018-01-01,1,1.0,0,2,0.0,231.54,0.0,231.54,0.0,11.0,0.0,11.0,11.0,11.0,-231.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0,1,31
501,2018-01-01,1,1.0,0,2,23.2,0.0,23.2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,31
492,2018-01-01,1,3.0,2,2,0.0,30.14,0.0,30.14,0.0,2.0,0.0,2.0,2.0,2.0,-30.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
491,2018-01-01,1,1.0,0,2,58.44,66.99,58.44,66.99,3.0,4.0,3.0,4.0,7.0,7.0,-8.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.47,0.53,0.43,0.57,2.0,1.0,0.0,0,1,31
490,2018-01-01,1,5.0,0,2,0.0,21.39,0.0,21.39,0.0,1.0,0.0,1.0,1.0,1.0,-21.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
488,2018-01-01,1,2.0,1,2,0.0,19.25,0.0,19.25,0.0,1.0,0.0,1.0,1.0,1.0,-19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,31
486,2018-01-01,1,1.0,0,2,39.36,114.46,39.36,114.46,2.0,7.0,2.0,7.0,9.0,9.0,-75.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.26,0.74,0.22,0.78,3.0,1.0,0.0,0,1,31
